npsn,nama_sekolah,alamat,kelurahan,status,kecamatan,kabupaten,provinsi,program,peringkat,no_sk,tahun_akreditasi,provinsi_riwayat,tahun_berakhir
20252519,SMAN 15 BEKASI,JL. H Open Kel Ciketingudik Kec Bantargebang Kota Bekasi ciketingudik RT.3/RW.1,Ciketingudik,Negeri,Kec. Bantargebang,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,763/BAN-SM/SK/2019,2019,JAWA BARAT,2024
69973604,SMAN 22 KOTA BEKASI,Jl. Rawa Tengah Rt. 02 Rw 03 Bantargebang RT.2/RW.1,Cikiwul,Negeri,Kec. Bantargebang,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,B,555/BAN-SM/SK/2023,2023,JAWA BARAT,2028
20231741,SMKN 2 KOTA BEKASI,JL. LAP. BOLA RAWA BUTUN CIKETING UDIK Ciketing Udik RT.2/RW.6,Ciketingudik,Negeri,Kec. Bantargebang,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,1466/BAN-SM/SK/2022,2022,JAWA BARAT,2027
20223136,SMKN 1 KOTA BEKASI,JL. BINTARA VIII NO.2 Bintara RT.6/RW.3,Bintara,Negeri,Kec. Bekasi Barat,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,1347/BAN-SM/SK/2021,2021,JAWA BARAT,2021
20231718,SMAN 12 BEKASI,JL. I GUSTI NGURAH RAI GG. MASJID AL IKHLAS KRANJI kranji RT.2/RW.10,Kranji,Negeri,Kec. Bekasi Barat,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,763/BAN-SM/SK/2019,2019,JAWA BARAT,2024
20223041,SMAN 8 BEKASI,JL. IRIGASI NO. 1 RT.05/21 PEKAYON JAYA - RT.5/RW.21,Pekayon Jaya,Negeri,Kec. Bekasi Selatan,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,555/BAN-SM/SK/2023,2023,JAWA BARAT,2028
20271648,SMKN 9 KOTA BEKASI,JL. CIKUNIR RAYA GANG H. ABAS RT 01 RW 02 JAKA MULYA Jaka Mulya RT.1/RW.2,Jaka Mulya,Negeri,Kec. Bekasi Selatan,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,782/BAN-S/M/SK/2019,2019,JAWA BARAT,2024
20223033,SMAN 2 BEKASI,JL. TANGKUBAN PERAHU NO.1 PERUMNAS 2 KOTA BEKASI KAYURINGIN JAYA RT.11/RW.13,Kayuringin Jaya,Negeri,Kec. Bekasi Selatan,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,1347/BAN-SM/SK/2021,2021,JAWA BARAT,2021
20223046,SMAN 3 BEKASI,"JL. Pulo Ribung Raya Taman Galaxi Indah, Telp. 021-8202515 Bekasi Selatan 17148 Pekayon Jaya RT.3/RW.13",Pekayon Jaya,Negeri,Kec. Bekasi Selatan,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,1347/BAN-SM/SK/2021,2021,JAWA BARAT,2021
20276429,SMAN 17 BEKASI,JL H ILYAS RT 02/12 JAKAMULYA,Jaka Mulya,Negeri,Kec. Bekasi Selatan,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,1347/BAN-SM/SK/2021,2021,JAWA BARAT,2021
20223020,SMAN 1 BEKASI,JL. KH. AGUS SALIM NO. 181 - RT.10/RW.7,Bekasi Jaya,Negeri,Kec. Bekasi Timur,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,1347/BAN-SM/SK/2021,2021,JAWA BARAT,2021
20269651,SMKN 6 KOTA BEKASI,Jl. Kusuma Utara X Perum Wisma Jaya  No. 169 Rt. 001 Rw. 016 - RT.1/RW.16,Duren Jaya,Negeri,Kec. Bekasi Timur,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,,2023,JAWA BARAT,-
69760562,SMAN 18 BEKASI,JL. Rudal No.18 Perumahan Duren Jaya Permai - RT.8/RW.4,Aren Jaya,Negeri,Kec. Bekasi Timur,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,,2023,JAWA BARAT,-
20258176,SMKN 5 KOTA BEKASI,JL. SERAYU 1 PERUMAHAN VILA INDAH PERMAI BLOK E 27 RT.09/033 Teluk Pucung RT.9/RW.33,Teluk Pucung,Negeri,Kec. Bekasi Utara,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,,2023,JAWA BARAT,-
69755585,SMKN 11 BEKASI,Perum Bulak Macan Permai Jl. Mutiara XII Blok A.81a No.1 17124 Harapan Jaya RT.6/RW.5,Harapan Jaya,Negeri,Kec. Bekasi Utara,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,B,1347/BAN-SM/SK/2021,2021,JAWA BARAT,2021
69952197,SMA NEGERI 20 KOTA BEKASI,JL. Swadaya Kp. Ceger No.42 Rt.11 Rw.02 Harapan Jaya Bekasi Utara Kalibaru RT.4/RW.4,Harapan Jaya,Negeri,Kec. Bekasi Utara,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,B,555/BAN-SM/SK/2023,2023,JAWA BARAT,2028
20223045,SMAN 4 BEKASI,JL. CEMARA PERMAI PERUM HARAPAN JAYA - RT.1/RW.10,Harapan Jaya,Negeri,Kec. Bekasi Utara,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,1347/BAN-SM/SK/2021,2021,JAWA BARAT,2026
20231720,SMAN 14 BEKASI,JL. CERI RAYA PERUM ALINDA KENCANA PERMAI Kaliabang Tengah RT.13/RW.21,Kaliabang Tengah,Negeri,Kec. Bekasi Utara,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,763/BAN-SM/SK/2019,2019,JAWA BARAT,2024
20269981,SMKN 4 KOTA BEKASI,"Jl.Gandaria, Kranggan Wetan Kranggan Wetan RT.1/RW.7",Jatirangga,Negeri,Kec. Jati Sampurna,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,763/BAN-SM/SK/2019,2019,JAWA BARAT,2024
69949162,SMK NEGERI 14 KOTA BEKASI,CITRA GRAN CIBUBUR JL. PULO KALIMANGGIS RT 02/09 Kalimanggis RT.2/RW.9,Jatikarya,Negeri,Kec. Jati Sampurna,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,064/BAN-PDM/SK/2023,2023,JAWA BARAT,2028
20223042,SMAN 7 BEKASI,JL. LINGKAR TATA KOTA JATISAMPURNA Kranggan RT.3/RW.1,Jatisampurna,Negeri,Kec. Jati Sampurna,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,555/BAN-SM/SK/2023,2023,JAWA BARAT,2028
20269696,SMKN 7 BEKASI,Jl.Perumahan Asabri Indah Jatisari - RT.4/RW.1,Jatisari,Negeri,Kec. Jatiasih,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,036/BAN-PDM/SK/2023,2023,JAWA BARAT,2028
20223043,SMAN 6 BEKASI,JL. ASRI LESTARI RAYA PERUM PONDOK MITRA LESTARI - RT.0/RW.0,Jatirasa,Negeri,Kec. Jatiasih,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,555/BAN-SM/SK/2023,2023,JAWA BARAT,2028
20223032,SMAN 11 BEKASI,JL. WIBAWA MUKTI KAV. AURI JATIASIH Jatisari RT.0/RW.0,Jatisari,Negeri,Kec. Jatiasih,KOTA BEKASI,JAWA BARAT,Bukan program kesetaraan,A,1347/BAN-SM/SK/2021,2021,JAWA BARAT,2021
